ts_gap,gps_sys_delta,is_duplicate,label_id,label_name
0.1049,-0.0465,0,0,NORMAL
-14.9224,-519370744.7575,0,4,ATK3B_UNDER
-50.8255,2453145455.233,0,3,ATK3_OVER
-16.8919,2453145443.698,0,3,ATK3_OVER
1.3331,-2.7939,0,0,NORMAL
0.6954,0.219,0,0,NORMAL
-7.1241,2453145413.0618,0,3,ATK3_OVER
86398.2763,-0.4467,0,1,ATK1_FUTURE
1.5703,-519370776.8674,0,4,ATK3B_UNDER
86389.3023,66.819,0,1,ATK1_FUTURE
27.7081,2453145441.2714,0,3,ATK3_OVER
74.6651,2453145463.5059,0,3,ATK3_OVER
32.1996,2453145497.4757,0,3,ATK3_OVER
-22.1236,864081.3927,0,2,ATK2_SPOOF
0.7367,-0.5058,0,0,NORMAL
1.1791,3.2085,0,0,NORMAL
86486.4233,-68.7594,1,5,ATK4_REPLAY
86375.3389,25.7979,0,1,ATK1_FUTURE
-69.0816,2453145431.3304,0,3,ATK3_OVER
17.9744,-519370733.3206,0,4,ATK3B_UNDER
86391.003,-45.3468,0,1,ATK1_FUTURE
0.2621,-2.6206,0,0,NORMAL
86395.8555,-76.8287,1,5,ATK4_REPLAY
20.4176,-519370611.6471,0,4,ATK3B_UNDER
3.7464,864042.4433,0,2,ATK2_SPOOF
5.3843,2453145410.6239,0,3,ATK3_OVER
-31.6185,-519370617.0737,0,4,ATK3B_UNDER
-3.6628,0.6456,0,0,NORMAL
4.9836,-519370805.6547,0,4,ATK3B_UNDER
86311.3293,-34.3469,0,1,ATK1_FUTURE
86244.0263,-11.8742,1,5,ATK4_REPLAY
4.8131,-519370757.2299,0,4,ATK3B_UNDER
86451.0611,-76.1157,0,1,ATK1_FUTURE
86404.9491,143.1132,1,5,ATK4_REPLAY
86489.6196,-21.1862,1,5,ATK4_REPLAY
39.7615,2453145453.7274,0,3,ATK3_OVER
0.263,-0.3408,0,0,NORMAL
2.2956,-3.3747,0,0,NORMAL
19.498,863991.9324,0,2,ATK2_SPOOF
-58.4286,-519370823.3109,0,4,ATK3B_UNDER
-2.9901,-2.363,0,0,NORMAL
86348.4399,-10.5359,0,1,ATK1_FUTURE
-54.3926,2453145468.5787,0,3,ATK3_OVER
2.6001,2.4658,0,0,NORMAL
86312.9321,58.2608,1,5,ATK4_REPLAY
1.0601,1.1511,0,0,NORMAL
62.7691,2453145474.0124,0,3,ATK3_OVER
86434.0753,22.0538,1,5,ATK4_REPLAY
-1.331,1.3971,0,0,NORMAL
-35.7066,863952.7555,0,2,ATK2_SPOOF
86349.9898,16.4521,1,5,ATK4_REPLAY
0.277,2453145464.4631,0,3,ATK3_OVER
-110.1128,2453145476.0088,0,3,ATK3_OVER
-0.8466,1.5899,0,0,NORMAL
86355.6268,29.1893,0,1,ATK1_FUTURE
-6.0607,-519370675.0452,0,4,ATK3B_UNDER
86478.4999,-2.7973,0,1,ATK1_FUTURE
56.3382,863972.3117,0,2,ATK2_SPOOF
86362.9015,42.1058,1,5,ATK4_REPLAY
70.3879,864102.2412,0,2,ATK2_SPOOF
86417.3904,-4.8573,1,5,ATK4_REPLAY
63.2967,2453145496.9435,0,3,ATK3_OVER
30.6548,-519370616.787,0,4,ATK3B_UNDER
86431.2838,36.9816,0,1,ATK1_FUTURE
0.0772,-4.312,0,0,NORMAL
7.4666,-519370739.9225,0,4,ATK3B_UNDER
15.1882,-519370595.9552,0,4,ATK3B_UNDER
95.3974,863953.0728,0,2,ATK2_SPOOF
52.714,-519370707.2746,0,4,ATK3B_UNDER
-14.8988,-519370664.2037,0,4,ATK3B_UNDER
89.9096,-519370778.6612,0,4,ATK3B_UNDER
54.5603,-519370726.0716,0,4,ATK3B_UNDER
86475.1015,26.9652,0,1,ATK1_FUTURE
86424.6634,71.555,0,1,ATK1_FUTURE
-61.5974,2453145393.7673,0,3,ATK3_OVER
27.0305,863953.2133,0,2,ATK2_SPOOF
86318.2583,31.8541,1,5,ATK4_REPLAY
99.5493,863965.3923,0,2,ATK2_SPOOF
-2.9834,2453145413.0262,0,3,ATK3_OVER
86405.3767,-7.6615,0,1,ATK1_FUTURE
37.1414,2453145441.1504,0,3,ATK3_OVER
37.8243,-519370774.0003,0,4,ATK3B_UNDER
-2.4889,1.6182,0,0,NORMAL
0.8962,0.3905,0,0,NORMAL
62.1415,864049.3662,0,2,ATK2_SPOOF
-46.6613,864001.0849,0,2,ATK2_SPOOF
86468.6222,72.185,1,5,ATK4_REPLAY
86373.1403,15.9777,0,1,ATK1_FUTURE
-2.4512,-1.9957,0,0,NORMAL
86413.841,-71.0881,0,1,ATK1_FUTURE
-3.7839,-2.1289,0,0,NORMAL
-70.8504,863996.9843,0,2,ATK2_SPOOF
-20.9037,-519370800.4607,0,4,ATK3B_UNDER
1.9041,-2.7639,0,0,NORMAL
20.1761,2453145457.993,0,3,ATK3_OVER
1.2512,-1.1732,0,0,NORMAL
1.6475,4.4283,0,0,NORMAL
71.254,2453145473.7211,0,3,ATK3_OVER
33.8069,2453145401.8105,0,3,ATK3_OVER
0.7919,1.4945,0,0,NORMAL
37.9364,2453145441.533,0,3,ATK3_OVER
86400.6688,35.2008,0,1,ATK1_FUTURE
11.6123,-519370799.7081,0,4,ATK3B_UNDER
86462.8889,-15.6577,0,1,ATK1_FUTURE
86380.1543,17.8564,0,1,ATK1_FUTURE
-1.2561,0.3404,0,0,NORMAL
86347.0298,76.4133,1,5,ATK4_REPLAY
-55.1069,864099.9144,0,2,ATK2_SPOOF
-37.9492,2453145470.2799,0,3,ATK3_OVER
86407.9956,-55.8704,1,5,ATK4_REPLAY
86342.775,-65.9209,1,5,ATK4_REPLAY
-103.3861,-519370741.9487,0,4,ATK3B_UNDER
66.8192,-519370787.9737,0,4,ATK3B_UNDER
-54.3618,2453145498.1233,0,3,ATK3_OVER
-52.9319,2453145412.1423,0,3,ATK3_OVER
86.0788,2453145505.1354,0,3,ATK3_OVER
1.7105,2453145380.2119,0,3,ATK3_OVER
36.2238,-519370645.7118,0,4,ATK3B_UNDER
-13.4117,2453145413.3725,0,3,ATK3_OVER
86362.239,19.8243,0,1,ATK1_FUTURE
86423.8214,-33.5296,1,5,ATK4_REPLAY
1.0823,2.7162,0,0,NORMAL
86436.6659,2.9043,1,5,ATK4_REPLAY
86480.0024,65.3958,0,1,ATK1_FUTURE
-11.7465,2453145433.2238,0,3,ATK3_OVER
-25.1501,2453145492.1984,0,3,ATK3_OVER
86483.0607,14.0307,1,5,ATK4_REPLAY
0.7668,-1.1864,0,0,NORMAL
-0.7019,1.2126,0,0,NORMAL
-25.9423,2453145423.3396,0,3,ATK3_OVER
-142.5162,-519370695.0959,0,4,ATK3B_UNDER
40.0589,864024.5184,0,2,ATK2_SPOOF
-68.9051,864017.0845,0,2,ATK2_SPOOF
0.4388,1.7094,0,0,NORMAL
-61.2592,-519370726.9384,0,4,ATK3B_UNDER
86386.6465,64.0494,1,5,ATK4_REPLAY
-16.559,-519370772.8472,0,4,ATK3B_UNDER
3.2337,0.3286,0,0,NORMAL
86401.0019,-52.392,0,1,ATK1_FUTURE
86370.5641,-6.4511,1,5,ATK4_REPLAY
-117.2894,2453145536.6155,0,3,ATK3_OVER
37.9767,2453145487.7469,0,3,ATK3_OVER
0.7035,1.3242,0,0,NORMAL
-22.6879,2453145431.6032,0,3,ATK3_OVER
86507.0636,11.91,1,5,ATK4_REPLAY
2.0254,-0.231,0,0,NORMAL
86396.6638,-18.3518,1,5,ATK4_REPLAY
-28.5861,-519370674.2241,0,4,ATK3B_UNDER
88.6395,2453145413.1838,0,3,ATK3_OVER
0.3051,-0.8781,0,0,NORMAL
86434.8289,0.4275,1,5,ATK4_REPLAY
-0.4509,0.0647,0,0,NORMAL
-13.0256,-519370716.2886,0,4,ATK3B_UNDER
86440.6649,-113.5445,1,5,ATK4_REPLAY
-16.8738,863987.8752,0,2,ATK2_SPOOF
15.9146,863989.0184,0,2,ATK2_SPOOF
0.4882,1.8653,0,0,NORMAL
-0.7635,0.1238,0,0,NORMAL
-92.6399,864030.1176,0,2,ATK2_SPOOF
-2.7644,1.3093,0,0,NORMAL
86382.0397,-76.2414,1,5,ATK4_REPLAY
-19.7959,864081.3616,0,2,ATK2_SPOOF
86404.4969,-43.2599,1,5,ATK4_REPLAY
86317.6245,49.9965,1,5,ATK4_REPLAY
86315.4999,-42.1222,1,5,ATK4_REPLAY
86355.9381,44.4673,0,1,ATK1_FUTURE
86488.916,-51.259,0,1,ATK1_FUTURE
-17.3218,2453145454.6335,0,3,ATK3_OVER
86448.9421,-68.4061,0,1,ATK1_FUTURE
-2.3917,0.2208,0,0,NORMAL
98.5245,-519370680.1595,0,4,ATK3B_UNDER
57.4602,-519370712.7404,0,4,ATK3B_UNDER
86478.796,-15.8183,0,1,ATK1_FUTURE
44.6909,2453145477.6505,0,3,ATK3_OVER
91.0316,2453145411.3083,0,3,ATK3_OVER
0.8404,0.7291,0,0,NORMAL
1.2703,-1.3717,0,0,NORMAL
-1.9273,4.7492,0,0,NORMAL
-54.085,2453145430.4233,0,3,ATK3_OVER
86428.3419,13.243,1,5,ATK4_REPLAY
0.3956,-1.7043,0,0,NORMAL
0.3759,-3.1742,0,0,NORMAL
86438.8523,-26.967,1,5,ATK4_REPLAY
20.2436,-519370638.5784,0,4,ATK3B_UNDER
17.6875,2453145472.6119,0,3,ATK3_OVER
0.6717,-1.5043,0,0,NORMAL
47.2161,2453145368.3894,0,3,ATK3_OVER
-104.1121,864002.5699,0,2,ATK2_SPOOF
17.6231,863974.9186,0,2,ATK2_SPOOF
86413.0377,-94.2786,0,1,ATK1_FUTURE
86431.6434,35.7057,0,1,ATK1_FUTURE
29.3959,-519370736.5548,0,4,ATK3B_UNDER
-22.0657,863928.188,0,2,ATK2_SPOOF
-16.6298,864066.2368,0,2,ATK2_SPOOF
86352.866,41.7807,0,1,ATK1_FUTURE
2.5985,1.2282,0,0,NORMAL
86404.7296,91.3105,0,1,ATK1_FUTURE
-14.8954,2453145456.3844,0,3,ATK3_OVER
86425.2222,31.2606,0,1,ATK1_FUTURE
-67.6167,-519370719.8285,0,4,ATK3B_UNDER
86340.556,-69.0582,0,1,ATK1_FUTURE
-25.5439,863990.5626,0,2,ATK2_SPOOF
86332.4789,-71.7111,0,1,ATK1_FUTURE
60.5341,-519370598.7058,0,4,ATK3B_UNDER
86378.265,48.7995,0,1,ATK1_FUTURE
86375.0485,51.244,1,5,ATK4_REPLAY
86428.5587,2.3257,0,1,ATK1_FUTURE
-62.564,2453145439.4325,0,3,ATK3_OVER
86413.8207,5.0085,0,1,ATK1_FUTURE
64.8529,864005.07,0,2,ATK2_SPOOF
86410.3669,-3.249,1,5,ATK4_REPLAY
-18.485,864096.1814,0,2,ATK2_SPOOF
-12.2167,-519370681.6534,0,4,ATK3B_UNDER
-0.0336,1.5125,0,0,NORMAL
56.1212,-519370782.5346,0,4,ATK3B_UNDER
86400.6949,23.3164,0,1,ATK1_FUTURE
4.154,-0.7905,0,0,NORMAL
-48.3438,-519370684.5462,0,4,ATK3B_UNDER
30.7235,-519370769.8857,0,4,ATK3B_UNDER
86395.6082,-69.4762,0,1,ATK1_FUTURE
72.6044,2453145444.9412,0,3,ATK3_OVER
86443.5411,66.4239,0,1,ATK1_FUTURE
86314.4263,32.8409,0,1,ATK1_FUTURE
-47.1059,2453145518.1444,0,3,ATK3_OVER
-0.1946,-0.7499,0,0,NORMAL
-32.2983,2453145480.5251,0,3,ATK3_OVER
-2.0713,1.9253,0,0,NORMAL
0.5123,864075.6072,0,2,ATK2_SPOOF
-71.3352,-519370746.8856,0,4,ATK3B_UNDER
86418.5268,39.4647,1,5,ATK4_REPLAY
88.5755,863968.7979,0,2,ATK2_SPOOF
17.5106,864113.6329,0,2,ATK2_SPOOF
-21.9862,-519370687.5881,0,4,ATK3B_UNDER
-3.127,-1.1674,0,0,NORMAL
-1.7031,0.6567,0,0,NORMAL
86500.5463,-17.8653,0,1,ATK1_FUTURE
-0.3585,-0.2099,0,0,NORMAL
86430.2497,-32.243,0,1,ATK1_FUTURE
86432.9399,-21.0576,0,1,ATK1_FUTURE
